timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
62589850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62793336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62995113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63197614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63399315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63601187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63804353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64010603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64213539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64414475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64616067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64818446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65020723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65224114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65425190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65628382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65830402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66033537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66234369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66437187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66643861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66846665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67048158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67251210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67453443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67655013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67856647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68060780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68264189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68468113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68671114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68875199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69075185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69278188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69481304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69685761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69887199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70091156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70295673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70498218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70700965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70902234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71103432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71307221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71508118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71711828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71913990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73132348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73335177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73537013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73738199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73941294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74143334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74244628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74547440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74748408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75153819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75354280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75557269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75762596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75964142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76164406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76367553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76569497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76769799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76971338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77172691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77374582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77579282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77782143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77985776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78187419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78392540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78596021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78800066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79003942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79204138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79406191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79609200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79811725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80014515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80217644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80419384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80622983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80827215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81027113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81230417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81432980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81635860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81840062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82042593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82244502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82448185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82650523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82852368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83053297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83257187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83460134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83660159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83862494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84063113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84265846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84465189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84666628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84869742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
