timestamp,vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
339036517,0,0,0,0,0
339238975,0,0,0,0,0
339439662,0,0,0,0,0
339642760,0,0,0,0,0
339842940,0,0,0,0,0
340046033,0,0,0,0,0
340249354,0,0,0,0,0
340452391,0,0,0,0,0
340656573,0,0,0,0,0
340859792,0,0,0,0,0
341062823,0,0,0,0,0
341266172,0,0,0,0,0
341466208,0,0,0,0,0
341669244,0,0,0,0,0
341869235,0,0,0,0,0
342072393,0,0,0,0,0
342275937,0,0,0,0,0
342478818,0,0,0,0,0
342680358,0,0,0,0,0
342882293,0,0,0,0,0
343085249,0,0,0,0,0
343288435,0,0,0,0,0
343492421,0,0,0,0,0
343695606,0,0,0,0,0
343898991,0,0,0,0,0
344098932,0,0,0,0,0
344302065,0,0,0,0,0
344505196,0,0,0,0,0
344708712,0,0,0,0,0
344912557,0,0,0,0,0
345115754,0,0,0,0,0
345318857,0,0,0,0,0
345522786,0,0,0,0,0
345722061,0,0,0,0,0
345925390,0,0,0,0,0
346124458,0,0,0,0,0
346328564,0,0,0,0,0
346527756,0,0,0,0,0
346731095,0,0,0,0,0
346934312,0,0,0,0,0
347138151,0,0,0,0,0
347341222,0,0,0,0,0
347544460,0,0,0,0,0
347744561,0,0,0,0,0
347947776,0,0,0,0,0
348150999,0,0,0,0,0
348354171,0,0,0,0,0
348554017,0,0,0,0,0
348757260,0,0,0,0,0
348960397,0,0,0,0,0
349164449,0,0,0,0,0
349367597,0,0,0,0,0
349570963,0,0,0,0,0
349774173,0,0,0,0,0
349974239,0,0,0,0,0
350177256,0,0,0,0,0
350380547,0,0,0,0,0
350580542,0,0,0,0,0
350783898,0,0,0,0,0
350986960,0,0,0,0,0
351190883,0,0,0,0,0
351394208,0,0,0,0,0
351597249,0,0,0,0,0
351800437,0,0,0,0,0
352004414,0,0,0,0,0
352203921,0,0,0,0,0
352406987,0,0,0,0,0
352610063,0,0,0,0,0
352810158,0,0,0,0,0
353014149,0,0,0,0,0
353216755,0,0,0,0,0
353416410,0,0,0,0,0
353619741,0,0,0,0,0
353822831,0,0,0,0,0
354026054,0,0,0,0,0
354230030,0,0,0,0,0
354433522,0,0,0,0,0
354633501,0,0,0,0,0
354836435,0,0,0,0,0
355039773,0,0,0,0,0
355243128,0,0,0,0,0
355445961,0,0,0,0,0
355650135,0,0,0,0,0
355853256,0,0,0,0,0
356056421,0,0,0,0,0
356260713,0,0,0,0,0
356463788,0,0,0,0,0
356666827,0,0,0,0,0
356866846,0,0,0,0,0
357070039,0,0,0,0,0
357273420,0,0,0,0,0
357476727,0,0,0,0,0
357680439,0,0,0,0,0
357883659,0,0,0,0,0
358490060,0,0,0,0,0
358693390,0,0,0,0,0
358892515,0,0,0,0,0
359096589,0,0,0,0,0
359299605,0,0,0,0,0
359502793,0,0,0,0,0
359705180,0,0,0,0,0
359909977,0,0,0,0,0
360113497,0,0,0,0,0
360316710,0,0,0,0,0
360516459,0,0,0,0,0
360720046,0,0,0,0,0
360922802,0,0,0,0,0
361122917,0,0,0,0,0
361326154,0,0,0,0,0
361529260,0,0,0,0,0
361732392,0,0,0,0,0
361936593,0,0,0,0,0
362139773,0,0,0,0,0
362346810,0,0,0,0,0
362550033,0,0,0,0,0
362749974,0,0,0,0,0
362953362,0,0,0,0,0
363156566,0,0,0,0,0
363360414,0,0,0,0,0
363563627,0,0,0,0,0
363766862,0,0,0,0,0
363969964,0,0,0,0,0
364170044,0,0,0,0,0
