timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
349164842,0.38509724,0.04656943,1.2096949
349368130,0.3792929,0.034316935,1.2087123
349571932,0.39812002,0.032659072,1.2156938
349774453,0.23617496,0.031341255,1.2142805
349974495,0.32365555,0.04511279,1.207533
350178121,0.21411565,0.0516292,1.1984098
350380795,0.3660222,0.055201214,1.1903042
350580864,0.21128367,0.049397714,1.1867979
350784772,0.2313058,0.04422796,1.1971773
350987325,0.2009159,0.025419023,1.2015076
351191621,0.41105074,0.019631734,1.1893355
351394458,0.32558173,0.027746953,1.1803838
351598037,0.3427117,0.033296283,1.1645744
351800770,0.30200148,0.028838223,1.1577553
352005561,0.34313133,0.021846682,1.1589057
352208013,0.40284583,0.019208493,1.1594152
352411331,0.27645996,0.030114658,1.1525304
352611310,0.37730545,0.025524907,1.1482236
352811196,0.28334385,0.02734161,1.1559769
353014986,0.4202304,0.02846663,1.1583215
353217853,0.2677953,0.026660385,0.89590925
353419150,0.3360388,0.026348297,0.8650988
353620055,0.27672544,0.023808355,0.88858163
353825109,0.26691756,0.0319717,0.89454037
354026369,0.7460823,0.029720208,0.90093166
354232282,0.55900764,0.031780668,0.8888802
354434397,0.64538336,0.035166755,0.8953438
354635796,0.17336921,0.029791126,0.8842451
354836740,0.6094629,0.027605835,0.87598866
355042214,0.40483984,0.024044003,0.8828934
355243293,0.26933756,0.027693778,0.87974757
355446387,0.47766837,0.033096187,0.8857461
355651182,0.36068103,0.03422277,0.88743305
355853675,0.59904313,0.03456953,0.88982
356057378,0.38982874,0.033618607,0.89279985
356259385,0.4707634,0.037886094,0.8932362
356460027,0.45122984,0.03327299,0.91944534
356665677,0.3234229,0.033035062,0.9170779
356867255,0.41518372,0.031632952,0.9336951
357072771,0.29586336,0.026095204,0.93887043
357273947,0.407683,0.029602878,0.9523539
357477781,0.30355984,0.026063282,0.96180534
357680764,0.28730482,0.025374176,0.96574205
357884735,0.3334221,0.0252153,0.95537066
358490389,0.4023896,0.030094225,0.98988587
358693677,0.22822104,0.02816332,1.0030456
358892844,0.4512002,0.035331953,0.99808884
359098860,0.31723475,0.027672382,1.0135685
359300047,0.33189133,0.029669328,1.0023621
359503592,0.2491848,0.03431113,0.98774344
359707544,0.36628005,0.033726126,0.99534845
359910419,0.3185926,0.029894158,0.9983319
360116114,0.34139857,0.025433311,0.9977431
360316875,0.42353034,0.023089822,1.0025494
360516871,0.28623906,0.027271327,1.0078002
360720772,0.31895688,0.024400374,1.019739
360923571,0.6048156,0.024604052,1.021948
361124834,0.302032,0.0317053,1.005358
361326416,0.48642147,0.04202381,1.0080371
361530738,0.3741501,0.035934426,1.0041517
361732768,0.35471094,0.032285452,1.0148244
361938776,0.24646643,0.02335322,0.99827045
362140035,0.29126826,0.024888627,1.0077554
362347259,0.32928187,0.0232657,1.0084649
362551222,0.3961992,0.022914309,1.0208147
362750742,0.37847927,0.023490299,1.0184052
362953679,0.30341238,0.024076276,1.0302242
363157644,0.39018774,0.02774892,1.0305873
363360697,0.3295405,0.027243208,1.0228446
363564440,0.4016582,0.026923096,1.0406947
363767787,0.2556789,0.026147839,1.0402633
363970775,0.2978622,0.02487807,1.0443525
364170843,0.3203707,0.026066747,1.0485109
